73.4	54.93	5550	22	240
78.4	55.37	5590	26	245
82.9	55.03	5650	24	265
112.58	59.45	5350	11	310
108.12	57.77	5430	21	305
118.37	56.92	5380	7	305
113.33	52.02	5570	26	295
108.75	50.37	-999	18	300
132.05	43.27	5680	16	280
73.13	49.8	5700	17	245
76.95	52.28	5700	20	245
76.93	43.23	5790	8	260
71.38	42.85	5780	12	255
74.83	34.08	5830	7	320
76.47	30.33	5770	9	290
77.2	28.58	5830	14	305
80.88	26.75	5750	10	295
91.58	26.1	5780	12	265
85.1	25.6	5850	4	290
72.63	23.07	5890	5	235
85.32	23.32	5820	4	95
88.45	22.65	5810	10	200
79.05	21.1	5760	7	40
72.85	19.12	5760	5	10
75.4	19.85	5830	5	30
78.47	17.45	5830	8	360
83.3	17.7	5790	11	210
81.15	16.2	5780	8	305
77.58	12.97	5870	6	280
92.72	11.67	5860	4	50
79.83	10.92	5960	10	295
76.95	8.48	5860	6	285
79.87	6.9	5890	4	40
106.98	47.93	5730	15	295
114.17	22.32	5860	7	280
128.6	38.2	5720	5	245
127.03	37.1	5710	7	275
129.38	36.03	5730	7	255
126.82	35.12	-999	5	235
126.17	33.28	5740	10	250
136.9	37.38	5790	20	225
139.78	33.1	5860	12	210
137.7	34.75	5820	4	195
133.35	35.43	5780	22	225
135.77	33.45	5830	11	195
130.38	33.58	5760	24	225
130.55	31.57	5790	21	200
129.5	28.38	5840	16	205
124.17	24.33	5840	11	265
127.68	26.2	5830	14	250
131.23	25.83	5860	3	240
100.27	5.3	5870	4	190
119.75	49.22	5640	21	310
125.23	49.17	5590	21	305
123.92	47.38	5640	16	315
128.9	47.72	5590	24	315
121.23	46.61	5670	13	295
126.77	45.75	5630	15	300
88.08	47.73	5750	8	325
83	46.73	5790	7	295
84.85	45.6	5780	7	340
90.53	45.37	5760	2	300
81.33	43.95	5780	9	300
87.62	43.78	5770	10	320
80.23	41.16	5800	6	295
82.95	41.72	5790	9	325
86.13	41.75	5780	7	350
75.98	39.47	5830	13	315
88.17	39.03	5810	5	270
79.93	37.13	-999	10	275
82.71	37.06	5810	12	275
90.85	38.25	5800	12	290
93.52	42.82	5750	4	340
101.07	41.95	5750	8	200
97.03	41.8	5730	4	260
94.68	40.15	5730	8	265
104.5	40.75	5780	4	155
98.48	39.77	5760	8	265
100.43	38.93	5760	8	250
103.08	38.63	5770	6	150
94.9	36.42	5790	15	320
98.1	36.3	5790	10	305
101.77	36.62	5760	6	270
104.15	35.86	5760	7	215
112	43.65	5730	5	295
108.52	41.57	5760	3	280
111.68	40.82	5750	5	315
107.4	40.77	5770	2	310
109.98	39.83	5780	4	285
106.22	38.48	5770	2	190
112.55	37.78	5780	7	325
114.5	37.07	5750	6	345
109.5	36.6	5780	2	290
106.67	35.55	5770	7	90
116.07	43.95	5740	9	290
122.27	43.6	5710	11	310
125.22	43.9	-999	11	305
118.97	42.27	5730	8	325
129.47	42.88	5690	11	290
121.12	41.13	5750	7	340
123.43	41.77	5730	8	335
126.92	41.72	5710	8	315
114.88	40.78	5750	4	325
124.33	40.05	5740	8	360
116.47	39.8	5750	6	350
121.63	38.9	5730	10	340
117.56	36.73	5750	7	330
122.68	37.4	5730	3	345
120.33	36.07	5730	5	360
92.07	31.48	5800	10	265
91.13	29.67	5840	11	220
87.08	28.63	5820	8	250
92.43	34.22	5810	6	305
97.02	33.02	5780	7	20
99.65	33.75	5790	8	350
102.9	35	5770	3	355
104.92	33.4	5760	6	240
97.17	31.15	5790	7	230
100	31.62	5800	15	275
102.55	32.8	5770	7	285
103.83	30.7	5790	12	290
99.1	30	5810	13	260
104.6	28.8	5810	9	315
102.27	27.9	5820	12	280
100.47	26.83	5840	16	275
104.28	26.87	5820	11	290
98.48	25.12	5860	13	275
102.68	25.02	-999	18	295
100.98	22.77	5880	8	295
103.38	23.38	5870	7	300
108.93	34.3	5770	3	120
113.65	34.72	5780	9	325
107.03	33.07	5760	10	230
112.58	33.03	5800	5	290
109.03	32.72	5780	14	245
107.5	31.2	5800	19	250
109.47	30.28	5800	23	255
111.3	30.7	5800	17	250
114.13	30.62	5810	9	280
106.48	29.52	5820	11	275
113.08	28.2	5820	11	275
110	27.56	5830	12	260
106.72	26.58	5840	14	270
110.3	25.33	5850	9	280
113.03	25.8	5860	12	260
114.95	25.85	5820	15	290
117.15	34.28	5770	10	320
120.25	33.77	5740	12	325
115.83	32.93	5770	13	305
118.8	32	5770	14	325
121.46	31.41	5760	13	295
117.05	30.53	5790	14	310
120.17	30.23	5770	13	310
115.92	28.6	-999	11	310
118.87	28.97	5800	14	315
122.25	28.63	5780	20	305
117.43	27.33	5820	14	310
119.28	26.08	5830	19	300
108.05	24.7	5850	12	285
114.48	24.37	5850	11	255
118.08	24.48	5850	14	290
106.6	23.9	5860	11	280
111.3	23.48	5870	10	270
113.05	23.66	5840	10	255
116.68	23.4	5860	7	260
108.35	22.82	5860	11	280
109.1	21.48	5870	8	275
111.97	21.87	5870	5	285
110.35	20.03	5880	8	300
109.52	18.23	5890	2	310
112.33	16.83	5870	6	355
134.48	7.33	5870	5	220
138.08	9.48	-999	2	100
110.33	1.48	5860	0	0
113.03	3.2	5870	3	260
116.05	5.93	5860	3	255
117.88	4.27	5860	11	130
